id;login;password_hash;first_name;last_name;email;image_url;activated;lang_key;created_by;last_modified_by
1;admin;$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC;Satori;Admin;admin@satori-nihongo.com;;true;vi;system;system
2;yamada_sensei;$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K;Hiroshi;Yamada;yamada@satori-nihongo.com;;true;ja;system;system
3;nguyen_linh;$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K;Linh;Nguyen;linh.nguyen@gmail.com;;true;vi;system;system
4;tran_minh;$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K;Minh;Tran;minh.tran@gmail.com;;true;vi;system;system
5;tanaka_sensei;$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K;Yuki;Tanaka;tanaka@satori-nihongo.com;;true;ja;system;system
6;le_hai;$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K;Hai;Le;hai.le@gmail.com;;true;vi;system;system
7;suzuki_sensei;$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K;Kenji;Suzuki;suzuki@satori-nihongo.com;;true;ja;system;system
8;watanabe_sensei;$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K;Mei;Watanabe;watanabe@satori-nihongo.com;;true;ja;system;system
9;sato_sensei;$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K;Takeshi;Sato;sato@satori-nihongo.com;;true;ja;system;system
10;nakamura_sensei;$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K;Akiko;Nakamura;nakamura@satori-nihongo.com;;true;ja;system;system
11;ito_sensei;$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K;Daisuke;Ito;ito@satori-nihongo.com;;true;ja;system;system
12;nguyen_teacher;$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K;Thuy;Nguyen;thuy.nguyen@satori-nihongo.com;;true;vi;system;system
13;tran_teacher;$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K;Duc;Tran;duc.tran@satori-nihongo.com;;true;vi;system;system
14;kobayashi_sensei;$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K;Ryota;Kobayashi;kobayashi@satori-nihongo.com;;true;ja;system;system
15;kimura_sensei;$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K;Yui;Kimura;kimura@satori-nihongo.com;;true;ja;system;system
