id;username;password_hash;email;full_name;gender;role
1;fellow;arid miserably;LanTruc.Le@gmail.com;definite;true;GIANG_VIEN
2;since violently;ick urban aw;DieuNuong_7kang@hotmail.com;excluding drat;true;GIANG_VIEN
3;defendant honored;furthermore aw properly;ThienTam.Le@yahoo.com;wherever;true;HOC_VIEN
4;excluding given scarcely;flint terribly mmm;ThanhHuyen_Truong70@gmail.com;nor failing;false;GIANG_VIEN
5;qua ah failing;majestically woot violently;MongTuyen_To@yahoo.com;inasmuch;true;HOC_VIEN
6;uh-huh;per;XuanNam16@gmail.com;if pish scorn;false;ADMIN
7;along;refer lest;CamLy97@yahoo.com;founder well-lit;true;ADMIN
8;carefully yahoo;airbus;UyenMy_Tran66@hotmail.com;outrun forswear bah;false;HOC_VIEN
9;homeschool;off excitedly seal;NguyenHong.Duong45@gmail.com;yahoo;false;GIANG_VIEN
10;swing fiercely lest;decouple;GiangTien_Ngo26@hotmail.com;favorite unless;true;GIANG_VIEN
